Termo,Quantidade,Stemmer
1068,1,NoStem
104v,1,NoStem
juracy,1,NoStem
1067,16,NoStem
veronilde,1,NoStem
floriano,3,NoStem
tereza,10,NoStem
cotejados,6,NoStem
ratificamos,2,NoStem
arcaria,1,NoStem
facão,20,NoStem
lotérica,1,NoStem
colegas,7,NoStem
jurado,3,NoStem
201210100166,1,NoStem
ditames,112,NoStem
ancorou,1,NoStem
amônia,42,NoStem
1086,2,NoStem
1085,1,NoStem
rechaçando,4,NoStem
1083,2,NoStem
1082,1,NoStem
1081,2,NoStem
frutas,2,NoStem
1079,2,NoStem
variado,3,NoStem
105v,1,NoStem
1090,3,NoStem
embora,579,NoStem
evânio,1,NoStem
naqueloutro,1,NoStem
1023015,2,NoStem
decesso,2,NoStem
calibre,39,NoStem
1099,1,NoStem
ceifaria,1,NoStem
1096,3,NoStem
1095,1,NoStem
nominata,1,NoStem
soraia,2,NoStem
suspeitaram,2,NoStem
redundando,8,NoStem
equilibrio,2,NoStem
70014425854,1,NoStem
1089,2,NoStem
antemão,2,NoStem
providenciará,2,NoStem
vigesima,1,NoStem
arquem,1,NoStem
cânticos,1,NoStem
aomissãoforespecífica,1,NoStem
tornariam,2,NoStem
compostura,1,NoStem
demosntração,1,NoStem
banalizar,8,NoStem
tacrsp,5,NoStem
cassar,12,NoStem
gerações,8,NoStem
escoar,2,NoStem
titularizada,2,NoStem
corroboradas,7,NoStem
escoam,1,NoStem
existente,246,NoStem
descabendo,14,NoStem
raaby,2,NoStem
70005564778,1,NoStem
amanhecendo,1,NoStem
adriana,15,NoStem
imperar,1,NoStem
440205,1,NoStem
200910701281,1,NoStem
precauções,7,NoStem
hipocôndrio,1,NoStem
rediscutir,99,NoStem
hansley,1,NoStem
fundiárias,1,NoStem
pergainho,1,NoStem
abaladas,1,NoStem
12403,2,NoStem
quantitativo,19,NoStem
custa,18,NoStem
profligando,1,NoStem
comuniquem,1,NoStem
adstritos,1,NoStem
2002211220147,1,NoStem
excução,1,NoStem
conformou,1,NoStem
praças,10,NoStem
inscrição,567,NoStem
quinhões,4,NoStem
12x36,1,NoStem
articulados,24,NoStem
locadora,10,NoStem
custo,72,NoStem
redime,1,NoStem
recursais,483,NoStem
límpidos,1,NoStem
côrrea,1,NoStem
venosa,8,NoStem
ajunte,4,NoStem
pacificada,87,NoStem
recebimento,505,NoStem
gislan,1,NoStem
flui,4,NoStem
interviwes,2,NoStem
balizados,4,NoStem
andamento,224,NoStem
balizador,1,NoStem
resguardados,4,NoStem
lucchesi,1,NoStem
48horas,3,NoStem
repondo,1,NoStem
ceifarem,1,NoStem
idealmente,3,NoStem
providenciara,2,NoStem
restituição,381,NoStem
cuidados,52,NoStem
remunerá,1,NoStem
incumbidos,2,NoStem
sirva,15,NoStem
habilitação,83,NoStem
agendada,3,NoStem
teresa,1,NoStem
definem,3,NoStem
empreitada,20,NoStem
litisiconsórcio,1,NoStem
elenaldo,14,NoStem
litisdenunciante,1,NoStem
capemisa,1,NoStem
amparou,1,NoStem
eventual,376,NoStem
outorgando,9,NoStem
datou,1,NoStem
sirvo,2,NoStem
descuidadamente,1,NoStem
novidade,5,NoStem
advertem,1,NoStem
inaplicabilidade,285,NoStem
monitora,4,NoStem
estruturada,1,NoStem
natalino,4,NoStem
natalina,22,NoStem
00398,1,NoStem
enfático,1,NoStem
cíveis,232,NoStem
00390,1,NoStem
relatava,1,NoStem
958833,1,NoStem
00393,1,NoStem
relatará,1,NoStem
3001279,1,NoStem
degraus,1,NoStem
infringe,8,NoStem
reservadas,4,NoStem
12370,1,NoStem
08h46min24s,1,NoStem
destaca,52,NoStem
triangularizada,3,NoStem
128691,1,NoStem
adriano,36,NoStem
custando,1,NoStem
estremados,1,NoStem
200310400862,1,NoStem
mariosa,1,NoStem
posicionamento,384,NoStem
1047052,1,NoStem
200911101396,7,NoStem
enfática,1,NoStem
indigente,2,NoStem
integradora,3,NoStem
151040,2,NoStem
perspicácia,1,NoStem
genco,2,NoStem
progredida,2,NoStem
buzzi,5,NoStem
1410608,2,NoStem
mitigados,1,NoStem
derechos,2,NoStem
008908,2,NoStem
200654,1,NoStem
noticiar,8,NoStem
nascer,4,NoStem
marketing,1,NoStem
nasceu,12,NoStem
idenização,1,NoStem
noticiam,8,NoStem
70042442210,1,NoStem
destaco,50,NoStem
extrajudicial,253,NoStem
2008313536,1,NoStem
prendendo,2,NoStem
capacitação,5,NoStem
tortura,20,NoStem
espínola,4,NoStem
definiu,24,NoStem
fenômenos,4,NoStem
definir,53,NoStem
armazenamento,1,NoStem
convenientes,15,NoStem
417835,2,NoStem
cotejadas,1,NoStem
advertia,1,NoStem
arcarem,2,NoStem
inteireza,9,NoStem
definia,6,NoStem
equivocadamente,25,NoStem
conjunturas,2,NoStem
interregnos,1,NoStem
advertir,3,NoStem
0060207,1,NoStem
ermelino,1,NoStem
guardou,4,NoStem
licenciar,4,NoStem
assumi,1,NoStem
monitorá,2,NoStem
denegavam,1,NoStem
glass,1,NoStem
papelotes,4,NoStem
penitenciárias,1,NoStem
hábeas,9,NoStem
irrelevante,35,NoStem
cível­,1,NoStem
nonato,3,NoStem
paralização,1,NoStem
mantando,1,NoStem
desobedecida,5,NoStem
abrupto,3,NoStem
tacrim,6,NoStem
assuma,9,NoStem
assume,71,NoStem
hsbc,22,NoStem
12368,1,NoStem
236604,1,NoStem
descontentamento,12,NoStem
70045228772,1,NoStem
fruteb,3,NoStem
divulgou,4,NoStem
desvantagem,109,NoStem
florestas,2,NoStem
fabrinni,3,NoStem
florestal,2,NoStem
imputamento,1,NoStem
nomeasse,1,NoStem
carbalal,1,NoStem
desgovernou,1,NoStem
loman,21,NoStem
desconexas,1,NoStem
estruturado,15,NoStem
confundiram,1,NoStem
00383,1,NoStem
advogados,130,NoStem
salvamento,10,NoStem
aílton,1,NoStem
ultrapassasse,4,NoStem
recondução,4,NoStem
asfáltica,5,NoStem
deteriorarem,1,NoStem
embasamentos,1,NoStem
salario,1,NoStem
notificou,3,NoStem
cristian,2,NoStem
848281,1,NoStem
ai0271872,1,NoStem
sucessória,5,NoStem
reportam,4,NoStem
apavorada,2,NoStem
reportar,14,NoStem
prejudicialmente,2,NoStem
ressarcível,2,NoStem
condizem,2,NoStem
00372,1,NoStem
513805,1,NoStem
torturá,1,NoStem
demanda,972,NoStem
desemb,1,NoStem
frutos,28,NoStem
fabricantes,2,NoStem
hodierna,4,NoStem
facada,4,NoStem
033930,1,NoStem
aonde,6,NoStem
demande,9,NoStem
providenciada,1,NoStem
interferências,1,NoStem
201401467,1,NoStem
cedente,20,NoStem
noturnos,1,NoStem
colégio,8,NoStem
checcucci,2,NoStem
expungiu,1,NoStem
entes,138,NoStem
revendê,2,NoStem
providenciado,14,NoStem
expungir,2,NoStem
filomeno,1,NoStem
concessa,8,NoStem
criteriosa,4,NoStem
adinmc,2,NoStem
nayla,1,NoStem
guardiã,4,NoStem
premiada,1,NoStem
lombo,1,NoStem
recolhimentos,3,NoStem
vingança,11,NoStem
lxxvii,4,NoStem
rechaçamos,1,NoStem
1529562,1,NoStem
dissentido,1,NoStem
regulava,2,NoStem
prestadora,50,NoStem
denominando,2,NoStem
pergaminho,3,NoStem
regulará,2,NoStem
idoneamente,1,NoStem
constrangedor,1,NoStem
administrada,1,NoStem
impingida,6,NoStem
orgânica,15,NoStem
impingido,9,NoStem
recidiva,1,NoStem
banalizou,2,NoStem
eliminando,10,NoStem
fetal,3,NoStem
inácio,1,NoStem
informativo,19,NoStem
morder,1,NoStem
desfazimento,25,NoStem
administrado,13,NoStem
emergens,1,NoStem
colacionamento,1,NoStem
20031120106,1,NoStem
deseja,23,NoStem
0072232,1,NoStem
deseje,1,NoStem
próspero,1,NoStem
parceiros,6,NoStem
prejudicou,4,NoStem
direitos,733,NoStem
recebesse,3,NoStem
oferecê,2,NoStem
atitudes,8,NoStem
prestigiar,19,NoStem
desejo,13,NoStem
3705,2,NoStem
estruturais,3,NoStem
3708,2,NoStem
estagnado,1,NoStem
módulo,7,NoStem
sumamente,2,NoStem
eletrônicos,22,NoStem
plantaram,1,NoStem
0060257,1,NoStem
prestigiam,1,NoStem
percelas,1,NoStem
2009205531,1,NoStem
penitenciários,4,NoStem
200410900623,1,NoStem
3703,1,NoStem
operacionalização,11,NoStem
revende,1,NoStem
revenda,15,NoStem
permutaram,1,NoStem
juíz,4,NoStem
galgar,1,NoStem
delatou,2,NoStem
exaustivas,1,NoStem
sediado,1,NoStem
filaspara,1,NoStem
postergou,4,NoStem
201500710688,1,NoStem
reponta,1,NoStem
200921900070,1,NoStem
revendo,5,NoStem
3712,2,NoStem
200420100125,1,NoStem
psique,1,NoStem
sediada,3,NoStem
amortecidas,1,NoStem
3714,1,NoStem
371e,1,NoStem
562783,2,NoStem
datas,41,NoStem
datar,1,NoStem
espancar,4,NoStem
datam,2,NoStem
espancam,1,NoStem
brigar,2,NoStem
hábeis,25,NoStem
injustiças,7,NoStem
remissionado,1,NoStem
3726,1,NoStem
silvana,2,NoStem
relaxando,1,NoStem
exibido,2,NoStem
bandido,1,NoStem
quesitação,8,NoStem
3721,1,NoStem
cambial,26,NoStem
3724,1,NoStem
noticiou,8,NoStem
litigado,2,NoStem
desígnios,16,NoStem
ilícitos,36,NoStem
234068,1,NoStem
amparem,1,NoStem
vilmado,1,NoStem
conrado,4,NoStem
judicialização,3,NoStem
011040091602,1,NoStem
gizar,3,NoStem
guardem,1,NoStem
gizam,1,NoStem
3735,1,NoStem
oferece,28,NoStem
utopia,3,NoStem
crescendo,1,NoStem
arrancando,1,NoStem
usualmente,3,NoStem
163047,1,NoStem
prótese,4,NoStem
faltaram,1,NoStem
sucumbindo,9,NoStem
demando,1,NoStem
concorridos,1,NoStem
gerencial,1,NoStem
carvalhido,30,NoStem
criticas,1,NoStem
amigável,2,NoStem
titularizarem,1,NoStem
refletirão,1,NoStem
tratasse,12,NoStem
logicamente,20,NoStem
frustra,3,NoStem
possibilitando,37,NoStem
curativas,6,NoStem
voando,1,NoStem
reconhecimento,726,NoStem
frustre,1,NoStem
exemplar,6,NoStem
stree,1,NoStem
corroboração,2,NoStem
palco,9,NoStem
liqüidado,1,NoStem
cingiram,1,NoStem
aúxílios,1,NoStem
retroage,50,NoStem
aquiliana,6,NoStem
1110,1,NoStem
devidamente,939,NoStem
audição,1,NoStem
fatura,112,NoStem
1106,3,NoStem
denedaga,1,NoStem
méxico,1,NoStem
1105,1,NoStem
arcasse,7,NoStem
1103,2,NoStem
1102,7,NoStem
abandonados,1,NoStem
1101,1,NoStem
3762,1,NoStem
trevo,1,NoStem
3763,1,NoStem
transcorrerem,1,NoStem
0072291,1,NoStem
1109,1,NoStem
9bd195162d0447895,1,NoStem
1108,1,NoStem
quinze,234,NoStem
habilita,2,NoStem
teksul,2,NoStem
habilite,2,NoStem
profligam,1,NoStem
compara,2,NoStem
3783,1,NoStem
autorizar,91,NoStem
1120,1,NoStem
diminuo,10,NoStem
operação,152,NoStem
autorizam,97,NoStem
câmaras,55,NoStem
diminui,3,NoStem
remanesce,5,NoStem
1118,3,NoStem
mitigação,69,NoStem
autocrática,1,NoStem
antecipatórias,5,NoStem
relatado,93,NoStem
200065010054,1,NoStem
1113,3,NoStem
200065010053,1,NoStem
1112,1,NoStem
1111,2,NoStem
anteprojetos,1,NoStem
3775,1,NoStem
imunidades,3,NoStem
3778,2,NoStem
1119,4,NoStem
religião,2,NoStem
relatada,6,NoStem
pactuada,425,NoStem
degolamento,1,NoStem
figuraram,2,NoStem
3791,1,NoStem
luquinha,1,NoStem
outorgante,2,NoStem
amarante,1,NoStem
longitudinalmente,2,NoStem
1132,2,NoStem
baasch,1,NoStem
surgiram,5,NoStem
1131,1,NoStem
deitando,1,NoStem
tripartição,2,NoStem
adaptado,1,NoStem
retificações,2,NoStem
pactuado,108,NoStem
1129,13,NoStem
1128,2,NoStem
1127,2,NoStem
1126,2,NoStem
fragilizando,1,NoStem
volnei,1,NoStem
reservados,2,NoStem
1122,1,NoStem
daquele,247,NoStem
273658,1,NoStem
3787,1,NoStem
376v,1,NoStem
daquela,155,NoStem
3789,1,NoStem
indelegável,3,NoStem
tramitar,14,NoStem
substratos,4,NoStem
prevenirem,1,NoStem
imperioso,45,NoStem
tramitam,10,NoStem
compensatório,27,NoStem
1140,1,NoStem
júlio,29,NoStem
palha,2,NoStem
infracional,98,NoStem
imperiosa,81,NoStem
1139,3,NoStem
pactuais,1,NoStem
velhos,2,NoStem
1138,1,NoStem
divulgar,12,NoStem
apellatum,6,NoStem
concentração,6,NoStem
0133749,1,NoStem
1134,1,NoStem
1133,3,NoStem
suplica,1,NoStem
23024246,2,NoStem
3796,1,NoStem
preferível,1,NoStem
hierarquia,36,NoStem
201211200955,1,NoStem
massagem,2,NoStem
compensatória,20,NoStem
radiofonico,1,NoStem
embratel,7,NoStem
maciel,23,NoStem
advogadas,2,NoStem
008768,1,NoStem
virtude,407,NoStem
inviabilizadora,9,NoStem
consolidando,9,NoStem
1153,2,NoStem
1152,1,NoStem
autorizem,13,NoStem
sindimed,1,NoStem
1148,3,NoStem
112v,1,NoStem
1147,1,NoStem
indeclinabilidade,3,NoStem
desmenbramento,5,NoStem
bijuterias,2,NoStem
profligar,3,NoStem
200511800159,2,NoStem
201110900917,5,NoStem
vigilante,12,NoStem
alvitrado,1,NoStem
cadeia,30,NoStem
virtual,23,NoStem
quebra,103,NoStem
elaborando,1,NoStem
1165,2,NoStem
diminuí,2,NoStem
patrulhamento,1,NoStem
mach,1,NoStem
1163,4,NoStem
segurar,4,NoStem
1162,1,NoStem
seguras,16,NoStem
tornara,5,NoStem
metformina,1,NoStem
cessionários,2,NoStem
alvitrada,1,NoStem
credor,509,NoStem
113v,1,NoStem
1158,1,NoStem
thomaz,1,NoStem
1157,1,NoStem
1155,1,NoStem
379v,1,NoStem
ms016,1,NoStem
adversários,1,NoStem
ferro,10,NoStem
1184973,2,NoStem
figurarem,2,NoStem
inapto,14,NoStem
erudita,1,NoStem
faqueiro,1,NoStem
inapta,14,NoStem
planificar,1,NoStem
rectius,1,NoStem
1174,1,NoStem
mário,32,NoStem
divisado,1,NoStem
mirucha,1,NoStem
1171,2,NoStem
recantos,1,NoStem
1170,1,NoStem
anotasse,1,NoStem
progressão,189,NoStem
temporariedade,1,NoStem
114v,1,NoStem
1167,3,NoStem
0011093,1,NoStem
1166,1,NoStem
impróprias,2,NoStem
concerne,140,NoStem
minifundio,1,NoStem
divisada,1,NoStem
200630400318,1,NoStem
quinta,230,NoStem
desbordantes,1,NoStem
tramites,1,NoStem
prefixadas,1,NoStem
curta,1,NoStem
resistida,21,NoStem
aplicável,444,NoStem
sefaz,11,NoStem
1185,2,NoStem
isonomia,96,NoStem
1184,3,NoStem
intuindo,1,NoStem
1183,1,NoStem
1182,1,NoStem
shadday,1,NoStem
aparecerão,1,NoStem
1181,1,NoStem
fiduciariamente,14,NoStem
1180,2,NoStem
reembolsáveis,1,NoStem
curto,10,NoStem
regulada,19,NoStem
legislativos,2,NoStem
virava,1,NoStem
diálogo,6,NoStem
vagamente,1,NoStem
hortifrutigranjeiros,1,NoStem
1177,2,NoStem
dispersão,1,NoStem
moldura,3,NoStem
cometida,17,NoStem
ilícitas,21,NoStem
chancelou,3,NoStem
ofertaram,3,NoStem
regulado,24,NoStem
reembolsará,1,NoStem
apreensões,3,NoStem
cedendo,7,NoStem
pressuposto,175,NoStem
enxergando,1,NoStem
1198,3,NoStem
atendimento,208,NoStem
1194,1,NoStem
1193,1,NoStem
1192,1,NoStem
1191,2,NoStem
estribado,1,NoStem
lucrécia,1,NoStem
curso,553,NoStem
1189,1,NoStem
filmes,2,NoStem
sírio,10,NoStem
joyce,5,NoStem
status,46,NoStem
fafen,23,NoStem
curva,1,NoStem
privou,3,NoStem
tornava,1,NoStem
modificativo,78,NoStem
transcorrido,41,NoStem
118v,1,NoStem
tornará,1,NoStem
argüições,3,NoStem
contemporânea,3,NoStem
compraram,2,NoStem
curvo,5,NoStem
pavimento,2,NoStem
situarem,1,NoStem
118g,1,NoStem
modificativa,2,NoStem
palio,4,NoStem
manifestadamente,1,NoStem
aremuneração,1,NoStem
cumulativos,14,NoStem
contemporâneo,2,NoStem
endereçamento,1,NoStem
cadela,3,NoStem
24527,1,NoStem
apreciarmos,2,NoStem
267vicpc2,1,NoStem
mpossibilidade,1,NoStem
cometido,108,NoStem
compensadas,5,NoStem
0121737,1,NoStem
pretente,1,NoStem
citando,38,NoStem
fortiori,3,NoStem
geldo,2,NoStem
pretenso,9,NoStem
mail,2,NoStem
sufragamos,1,NoStem
respaldando,6,NoStem
gêmeos,2,NoStem
maio,162,NoStem
esgrimidos,4,NoStem
treze,81,NoStem
qualificados,34,NoStem
acordas,1,NoStem
00524,1,NoStem
00523,1,NoStem
mais,2654,NoStem
acordar,2,NoStem
teoricamente,3,NoStem
strip,1,NoStem
acordam,1393,NoStem
daros,1,NoStem
celeremente,1,NoStem
desequilibrar,4,NoStem
galeno,2,NoStem
intensiva,3,NoStem
intimados,21,NoStem
cautelam,2,NoStem
cautelas,31,NoStem
pretensa,7,NoStem
cautelar,711,NoStem
maia,56,NoStem
busque,9,NoStem
desfaz,2,NoStem
intensivo,1,NoStem
prestigiou,5,NoStem
oitavo,7,NoStem
exemplos,10,NoStem
lesãograve,1,NoStem
emendasse,1,NoStem
cominar,1,NoStem
conscientizar,1,NoStem
zavascki,100,NoStem
diminua,1,NoStem
006191,1,NoStem
ofenderia,2,NoStem
maruim,26,NoStem
planose,3,NoStem
descriminados,1,NoStem
homenageando,1,NoStem
594kwh,6,NoStem
queixando,1,NoStem
00547,2,NoStem
ocasionará,1,NoStem
salvador,37,NoStem
alongamento,1,NoStem
compará,1,NoStem
ellen,25,NoStem
artesiano,5,NoStem
phpdoc,1,NoStem
bagé,1,NoStem
fabricado,3,NoStem
oitava,55,NoStem
foliões,2,NoStem
silenciado,2,NoStem
aquiliano,1,NoStem
encaixar,1,NoStem
postergar,2,NoStem
prejudicar,49,NoStem
servirão,2,NoStem
litigava,2,NoStem
avulsas,1,NoStem
satisfativas,1,NoStem
desrespeitosa,1,NoStem
travessa,4,NoStem
vizinhas,1,NoStem
quinto,15,NoStem
crescente,4,NoStem
teimam,1,NoStem
eximirá,3,NoStem
autorizou,35,NoStem
439360,1,NoStem
evandro,14,NoStem
resistido,1,NoStem
laparotomia,1,NoStem
00,2224,NoStem
01,1120,NoStem
brandura,1,NoStem
02,1576,NoStem
03,1596,NoStem
04,1565,NoStem
05,1790,NoStem
contractus,7,NoStem
06,1800,NoStem
415339,1,NoStem
totalização,1,NoStem
07,1057,NoStem
08,1441,NoStem
09,1436,NoStem
sanados,14,NoStem
prudente,117,NoStem
fiscalizadas,2,NoStem
impróprios,12,NoStem
suplementando,1,NoStem
596068,1,NoStem
prisão,1336,NoStem
bank,12,NoStem
citamos,2,NoStem
galerias,1,NoStem
aceita,26,NoStem
10,2561,NoStem
aceite,12,NoStem
ibicard,2,NoStem
11,2296,NoStem
reuniram,1,NoStem
12,2372,NoStem
desaparecimento,17,NoStem
13,697,NoStem
14,883,NoStem
resguardadas,2,NoStem
esdrúxulas,2,NoStem
15,998,NoStem
dialética,15,NoStem
adversas,3,NoStem
16,755,NoStem
motivadas,3,NoStem
17,912,NoStem
18,894,NoStem
19,661,NoStem
demonstrei,1,NoStem
redecida,6,NoStem
demonstrem,23,NoStem
70020103495,1,NoStem
parqueamento,2,NoStem
dialético,3,NoStem
reconhecendoa,1,NoStem
0g,2,NoStem
morais­,1,NoStem
0h,1,NoStem
amparador,1,NoStem
chamarem,1,NoStem
mala,1,NoStem
comprada,2,NoStem
tramitou,43,NoStem
majorar,44,NoStem
20,1784,NoStem
amparados,5,NoStem
114verso,3,NoStem
21,844,NoStem
22,744,NoStem
preparados,3,NoStem
organizações,5,NoStem
23,475,NoStem
24,603,NoStem
25,555,NoStem
disseminar,1,NoStem
26,505,NoStem
27,495,NoStem
28,578,NoStem
29,702,NoStem
indeferidora,1,NoStem
probidade,11,NoStem
verossímeis,8,NoStem
1a,43,NoStem
escola,34,NoStem
doutrinam,2,NoStem
livramento,19,NoStem
0001643,1,NoStem
30,1092,NoStem
31,404,NoStem
1o,51,NoStem
doutrinar,1,NoStem
enumerações,1,NoStem
32,217,NoStem
doutrinas,5,NoStem
império,2,NoStem
33,496,NoStem
corporificação,1,NoStem
34,139,NoStem
1r,1,NoStem
35,254,NoStem
ilustra,3,NoStem
2006313677,1,NoStem
36,432,NoStem
37,614,NoStem
star,2,NoStem
38,116,NoStem
ilustre,182,NoStem
39,240,NoStem
procissão,1,NoStem
cominou,3,NoStem
aceito,11,NoStem
0241548,1,NoStem
avaliaçãodos,1,NoStem
stay,1,NoStem
2a,115,NoStem
ilustro,13,NoStem
2c,1,NoStem
20040020029944agi,1,NoStem
equilibrar,3,NoStem
maculem,1,NoStem
inspira,1,NoStem
literalmente,3,NoStem
40,705,NoStem
botezel,3,NoStem
41,164,NoStem
2o,35,NoStem
42,206,NoStem
43,163,NoStem
44,164,NoStem
antecipatórios,2,NoStem
45,163,NoStem
sucessores,14,NoStem
46,194,NoStem
flutuante,4,NoStem
47,129,NoStem
48,223,NoStem
0013606,1,NoStem
49,124,NoStem
empregadores,3,NoStem
possibilitou,14,NoStem
desafiado,2,NoStem
2011221806,1,NoStem
3a,8,NoStem
657476,1,NoStem
unitariedade,3,NoStem
50,499,NoStem
aceitá,1,NoStem
51,282,NoStem
3o,35,NoStem
52,145,NoStem
53,108,NoStem
propriedades,13,NoStem
54,226,NoStem
desafiada,1,NoStem
55,96,NoStem
56,90,NoStem
filiados,5,NoStem
57,233,NoStem
58,98,NoStem
59,233,NoStem
1º,2061,NoStem
distrato,10,NoStem
sucessões,5,NoStem
pesavam,2,NoStem
jogando,7,NoStem
4a,9,NoStem
pedalando,1,NoStem
segurou,1,NoStem
demonstram,86,NoStem
adailton,3,NoStem
demonstrar,256,NoStem
