Termo,Quantidade,Stemmer
1049639,1,NoStem
embora,262,NoStem
1099,12,NoStem
1096,1,NoStem
1094,1,NoStem
microssistemas,3,NoStem
redundando,1,NoStem
equilibrio,2,NoStem
antemão,4,NoStem
providenciará,1,NoStem
arquem,1,NoStem
remol,1,NoStem
titularizado,1,NoStem
201500107244,2,NoStem
cassar,19,NoStem
201500107240,4,NoStem
escoar,6,NoStem
existente,175,NoStem
descabendo,29,NoStem
adriana,18,NoStem
imperar,1,NoStem
emdecorrência,1,NoStem
97387,2,NoStem
1312183,1,NoStem
rediscutir,30,NoStem
hansley,2,NoStem
quantitativo,8,NoStem
20jan,4,NoStem
informavam,1,NoStem
custa,12,NoStem
comuniquem,4,NoStem
adstritos,1,NoStem
excução,1,NoStem
200700210465,1,NoStem
praças,2,NoStem
inscrição,401,NoStem
articulados,8,NoStem
custo,73,NoStem
recursais,482,NoStem
177339820078260562,1,NoStem
2012304631,1,NoStem
venosa,2,NoStem
flua,1,NoStem
pacificada,76,NoStem
compareçam,1,NoStem
201300126142,1,NoStem
recebimento,455,NoStem
flui,5,NoStem
andamento,238,NoStem
resguardados,1,NoStem
48horas,1,NoStem
restituição,346,NoStem
norecurso,1,NoStem
cuidados,17,NoStem
incumbidos,1,NoStem
sirva,2,NoStem
habilitação,44,NoStem
agendada,2,NoStem
teresa,9,NoStem
definem,5,NoStem
empreitada,3,NoStem
fundiários,4,NoStem
litisiconsórcio,2,NoStem
substituível,3,NoStem
201500830429,1,NoStem
amparou,1,NoStem
eventual,267,NoStem
outorgando,3,NoStem
datou,1,NoStem
sirvo,1,NoStem
inaplicabilidade,202,NoStem
natalino,1,NoStem
estruturada,1,NoStem
natalina,15,NoStem
1351764,1,NoStem
cíveis,280,NoStem
relatará,1,NoStem
infringe,2,NoStem
reservadas,7,NoStem
eanes,1,NoStem
10024142919547001,1,NoStem
35da,1,NoStem
destaca,45,NoStem
triangularizada,1,NoStem
púbere,1,NoStem
adriano,10,NoStem
desconstituiçãodadecisão,1,NoStem
posicionamento,345,NoStem
enfática,1,NoStem
b100014401,1,NoStem
cartorárias,1,NoStem
120120229tribunal,1,NoStem
gizou,4,NoStem
buzzi,22,NoStem
instrumentonº,1,NoStem
008908,2,NoStem
repropositura,1,NoStem
noticiar,4,NoStem
marketing,2,NoStem
nasceu,2,NoStem
desalojados,1,NoStem
noticias,1,NoStem
noticiam,3,NoStem
destaco,37,NoStem
extrajudicial,320,NoStem
angiogênica,1,NoStem
inadimpliu,1,NoStem
capacitação,5,NoStem
tortura,1,NoStem
120130819,1,NoStem
definiu,19,NoStem
siqeuira,1,NoStem
definir,12,NoStem
hermeneuta,3,NoStem
armazenamento,1,NoStem
convenientes,4,NoStem
cotejadas,1,NoStem
arcarem,2,NoStem
inteireza,4,NoStem
definia,7,NoStem
equivocadamente,14,NoStem
advertir,3,NoStem
12359,1,NoStem
guardou,1,NoStem
legalprevista,1,NoStem
papelotes,2,NoStem
hábeas,13,NoStem
irrelevante,36,NoStem
silvaem,1,NoStem
00356,1,NoStem
formatado,1,NoStem
assuma,2,NoStem
assume,14,NoStem
hsbc,11,NoStem
descontentamento,8,NoStem
divulgou,1,NoStem
desvantagem,83,NoStem
abrupta,1,NoStem
loman,1,NoStem
presidentes,1,NoStem
desconexas,1,NoStem
estruturado,10,NoStem
1035038,4,NoStem
advogados,132,NoStem
recondução,2,NoStem
120130801,1,NoStem
dissipando,1,NoStem
demezio,1,NoStem
salario,2,NoStem
notificou,2,NoStem
sucessória,3,NoStem
reportar,7,NoStem
condizem,2,NoStem
demanda,867,NoStem
2011111353,1,NoStem
151093,2,NoStem
frutos,1,NoStem
quaisafirma,1,NoStem
201401468,1,NoStem
demande,6,NoStem
providenciada,6,NoStem
cedente,2,NoStem
20090111828375apc,1,NoStem
checcucci,2,NoStem
colégio,8,NoStem
entes,226,NoStem
providenciado,22,NoStem
concessa,3,NoStem
sinalizando,1,NoStem
criteriosa,1,NoStem
colonização,1,NoStem
premiada,1,NoStem
agosoto,1,NoStem
determinandoa,1,NoStem
recolhimentos,1,NoStem
rivotril,1,NoStem
lxxvii,4,NoStem
visitante,1,NoStem
586789,1,NoStem
201212200854,1,NoStem
carlosalberto,1,NoStem
201400702902,1,NoStem
prestadora,6,NoStem
denominando,2,NoStem
pergaminho,6,NoStem
requisitórios,10,NoStem
201400822680,1,NoStem
idoneamente,1,NoStem
impingida,1,NoStem
orgânica,2,NoStem
recidiva,2,NoStem
201400807088,1,NoStem
preexecutividade,3,NoStem
jaaziel,1,NoStem
eliminando,5,NoStem
informativo,4,NoStem
confundirem,1,NoStem
desfazimento,7,NoStem
administrado,8,NoStem
datim,1,NoStem
surgiria,2,NoStem
planner,5,NoStem
candida,1,NoStem
deseja,29,NoStem
prejudicou,2,NoStem
direitos,389,NoStem
2009000176,1,NoStem
candido,3,NoStem
atitudes,2,NoStem
prestigiar,16,NoStem
desejo,1,NoStem
estruturais,9,NoStem
estagnado,1,NoStem
módulo,2,NoStem
eletrônicos,3,NoStem
penitenciários,4,NoStem
operacionalização,1,NoStem
3703,1,NoStem
compact,1,NoStem
revenda,6,NoStem
juíz,2,NoStem
seroquel,1,NoStem
exaustivas,1,NoStem
revendo,22,NoStem
3710,1,NoStem
josecarlos,1,NoStem
562783,2,NoStem
0106096,1,NoStem
datas,20,NoStem
datar,1,NoStem
hábeis,19,NoStem
injustiças,5,NoStem
silvana,10,NoStem
exibido,3,NoStem
201011300126,4,NoStem
cambial,25,NoStem
3724,1,NoStem
noticiou,4,NoStem
ilícitos,18,NoStem
201311100839,1,NoStem
amparem,3,NoStem
conrado,4,NoStem
728539,2,NoStem
judicialização,3,NoStem
destacá,1,NoStem
desvinculaçao,1,NoStem
3735,1,NoStem
litigada,1,NoStem
oferece,14,NoStem
utopia,4,NoStem
crescendo,1,NoStem
usualmente,4,NoStem
prótese,19,NoStem
574791,1,NoStem
gerenciar,3,NoStem
sucumbindo,1,NoStem
0118095,1,NoStem
120140218,1,NoStem
gerencial,1,NoStem
carvalhido,37,NoStem
neuroendórcrino,1,NoStem
201500707033,1,NoStem
3746,1,NoStem
amigável,2,NoStem
falseamos,1,NoStem
3760,2,NoStem
tratasse,1,NoStem
logicamente,9,NoStem
possibilitando,19,NoStem
curativas,2,NoStem
reconhecimento,495,NoStem
frustre,6,NoStem
20957391020168260000,2,NoStem
palco,2,NoStem
cingiram,1,NoStem
retroage,23,NoStem
201110900962,2,NoStem
1110,1,NoStem
devidamente,546,NoStem
fatura,59,NoStem
1105,6,NoStem
arcasse,3,NoStem
1104,2,NoStem
custearão,1,NoStem
1103,3,NoStem
salientamos,1,NoStem
1102,3,NoStem
1100,1,NoStem
transcorrerem,1,NoStem
nullitatis,1,NoStem
1109,2,NoStem
quinze,158,NoStem
clenilton,1,NoStem
3781,1,NoStem
1121,2,NoStem
autorizar,111,NoStem
1120,1,NoStem
operação,54,NoStem
autorizam,46,NoStem
câmaras,81,NoStem
mitigação,65,NoStem
antecipatórias,4,NoStem
1116,1,NoStem
relatado,60,NoStem
3773,1,NoStem
anteprojetos,1,NoStem
3778,1,NoStem
relatada,5,NoStem
pactuada,411,NoStem
figuraram,4,NoStem
outorgante,3,NoStem
1132,8,NoStem
amarante,1,NoStem
1131,1,NoStem
surgiram,1,NoStem
70046106183,2,NoStem
adaptado,2,NoStem
tripartição,1,NoStem
pactuado,79,NoStem
1129,6,NoStem
volnei,1,NoStem
reservados,1,NoStem
mandamentalexige,1,NoStem
daquele,116,NoStem
3786,1,NoStem
daquela,97,NoStem
retroaja,1,NoStem
tramitar,11,NoStem
substratos,1,NoStem
2005do,4,NoStem
tramitam,14,NoStem
imperioso,41,NoStem
entretenimento,2,NoStem
deestado,2,NoStem
compensatório,5,NoStem
1142,1,NoStem
1140,6,NoStem
júlio,9,NoStem
infracional,15,NoStem
desaguadouronaconsolidação,1,NoStem
imperiosa,41,NoStem
0385243,1,NoStem
1139,9,NoStem
111v,1,NoStem
apellatum,4,NoStem
1137,1,NoStem
concentração,13,NoStem
1135,5,NoStem
nº201300126142,1,NoStem
suplica,3,NoStem
preferível,2,NoStem
hierarquia,16,NoStem
compensatória,7,NoStem
embratel,2,NoStem
caucionar,1,NoStem
maciel,13,NoStem
advogadas,1,NoStem
virtude,255,NoStem
consolidando,8,NoStem
1153,1,NoStem
201111501146,1,NoStem
1151,1,NoStem
1150,1,NoStem
autorizem,5,NoStem
1148,1,NoStem
1147,7,NoStem
1146,1,NoStem
bijuterias,2,NoStem
neilton,1,NoStem
profligar,15,NoStem
desarazzoado,1,NoStem
3515363993,1,NoStem
vigilante,5,NoStem
virtual,47,NoStem
cadeia,13,NoStem
quebra,25,NoStem
elaborando,1,NoStem
1164,1,NoStem
seguras,1,NoStem
201111202781,1,NoStem
201600813327,1,NoStem
alvitrada,1,NoStem
1159,2,NoStem
cessionários,1,NoStem
credor,513,NoStem
113v,1,NoStem
1157,1,NoStem
2013221491,1,NoStem
1155,1,NoStem
abriguem,1,NoStem
ferro,2,NoStem
figurarem,2,NoStem
1184975,2,NoStem
rectius,5,NoStem
mário,14,NoStem
1172,4,NoStem
1170,1,NoStem
maam,2,NoStem
progressão,35,NoStem
concerne,38,NoStem
201600801365,1,NoStem
protagonizado,1,NoStem
quinta,154,NoStem
tramites,1,NoStem
trajando,1,NoStem
resistida,21,NoStem
1187,1,NoStem
aplicável,293,NoStem
sefaz,4,NoStem
1186,7,NoStem
isonomia,28,NoStem
acolhera,1,NoStem
1181,3,NoStem
fiduciariamente,80,NoStem
babá,1,NoStem
regulada,11,NoStem
diálogo,6,NoStem
moldura,2,NoStem
cometida,15,NoStem
chancelou,1,NoStem
ilícitas,1,NoStem
ofertaram,2,NoStem
regulado,20,NoStem
reembolsará,1,NoStem
apreensões,1,NoStem
pressuposto,237,NoStem
1198,1,NoStem
1197,1,NoStem
1196,20,NoStem
atendimento,165,NoStem
ditando,2,NoStem
1191,1,NoStem
csuteio,1,NoStem
1422755,1,NoStem
cronologicamente,1,NoStem
curso,478,NoStem
1188,1,NoStem
palma,1,NoStem
status,38,NoStem
fafen,1,NoStem
tornava,2,NoStem
modificativo,36,NoStem
transcorrido,47,NoStem
portugal,2,NoStem
201010900174,1,NoStem
tornará,2,NoStem
indeferidoin,1,NoStem
curvo,7,NoStem
1199,12,NoStem
modificativa,1,NoStem
cumulativos,8,NoStem
contemporâneo,2,NoStem
esmiuçadas,1,NoStem
compreensíveis,1,NoStem
endereçamento,8,NoStem
retomarem,2,NoStem
cometido,11,NoStem
119v,1,NoStem
quebec,3,NoStem
milícia,1,NoStem
perfunctoriamente,1,NoStem
0083012015,1,NoStem
tramitem,1,NoStem
citando,16,NoStem
pretenso,7,NoStem
mail,12,NoStem
respaldando,5,NoStem
maio,154,NoStem
esgrimidos,3,NoStem
treze,37,NoStem
qualificados,9,NoStem
mais,1575,NoStem
teoricamente,21,NoStem
acordam,3,NoStem
intimados,14,NoStem
cautelam,8,NoStem
cautelas,74,NoStem
pretensa,10,NoStem
cautelar,341,NoStem
maia,57,NoStem
busque,5,NoStem
zavascky,2,NoStem
prestigiou,1,NoStem
oitavo,1,NoStem
2012218295,9,NoStem
exemplos,20,NoStem
atorvastatina,1,NoStem
emendasse,1,NoStem
diretamenteafetados,1,NoStem
zavascki,129,NoStem
ofenderia,2,NoStem
maruim,26,NoStem
201300102284,4,NoStem
homenageando,2,NoStem
ocasionará,5,NoStem
salvador,20,NoStem
compará,8,NoStem
ellen,10,NoStem
ampliações,3,NoStem
fabricado,1,NoStem
201500107388,2,NoStem
oitava,28,NoStem
919117920128260000,1,NoStem
aquiliano,2,NoStem
silenciado,1,NoStem
postergar,2,NoStem
prejudicar,26,NoStem
servirão,1,NoStem
satisfativas,4,NoStem
200151010156,1,NoStem
amortizando,1,NoStem
quinto,11,NoStem
crescente,1,NoStem
autorizou,21,NoStem
evandro,5,NoStem
resistido,1,NoStem
00,1154,NoStem
01,993,NoStem
02,1434,NoStem
03,1424,NoStem
04,1490,NoStem
wallison,1,NoStem
05,1951,NoStem
06,1594,NoStem
07,1165,NoStem
08,1290,NoStem
09,1363,NoStem
sanados,4,NoStem
prudente,40,NoStem
prisão,472,NoStem
bank,10,NoStem
citamos,2,NoStem
passareli,4,NoStem
mama,5,NoStem
aceita,15,NoStem
10,2383,NoStem
aceite,5,NoStem
11,1904,NoStem
12,2138,NoStem
desaparecimento,6,NoStem
13,657,NoStem
14,606,NoStem
esdrúxulas,1,NoStem
15,771,NoStem
dialética,17,NoStem
adversas,1,NoStem
16,557,NoStem
17,821,NoStem
18,729,NoStem
19,515,NoStem
redecida,3,NoStem
demonstrem,7,NoStem
regimentalno,1,NoStem
dialético,10,NoStem
comprada,1,NoStem
tramitou,31,NoStem
majorar,41,NoStem
20,1115,NoStem
amparados,1,NoStem
21,627,NoStem
22,669,NoStem
preparados,1,NoStem
organizações,4,NoStem
nº2010205482,2,NoStem
23,493,NoStem
preparador,1,NoStem
24,524,NoStem
25,496,NoStem
fevreiro,1,NoStem
26,491,NoStem
27,453,NoStem
28,595,NoStem
29,405,NoStem
probidade,6,NoStem
verossímeis,6,NoStem
mariilza,1,NoStem
argumentaçãout,1,NoStem
schusterrelatora,1,NoStem
1a,7,NoStem
escola,7,NoStem
1086580,2,NoStem
ampola,2,NoStem
30,847,NoStem
31,361,NoStem
1o,78,NoStem
32,95,NoStem
império,2,NoStem
doutrinas,2,NoStem
33,230,NoStem
34,85,NoStem
35,123,NoStem
ilustra,1,NoStem
36,338,NoStem
37,175,NoStem
38,65,NoStem
39,113,NoStem
ilustre,44,NoStem
cominou,4,NoStem
aceito,4,NoStem
0241548,1,NoStem
2a,4,NoStem
ilustro,2,NoStem
equilibrar,1,NoStem
literalmente,2,NoStem
40,546,NoStem
41,126,NoStem
2o,59,NoStem
42,89,NoStem
43,82,NoStem
44,63,NoStem
45,89,NoStem
sucessores,6,NoStem
46,96,NoStem
flutuante,1,NoStem
47,55,NoStem
48,194,NoStem
49,71,NoStem
empregadores,2,NoStem
socialização,1,NoStem
prestração,1,NoStem
possibilitou,3,NoStem
desafiado,34,NoStem
perquiridora,3,NoStem
572057,4,NoStem
3a,4,NoStem
201200202410,1,NoStem
unitariedade,2,NoStem
50,507,NoStem
aceitá,1,NoStem
51,231,NoStem
3o,19,NoStem
52,74,NoStem
53,59,NoStem
54,110,NoStem
70043779230,1,NoStem
desafiada,7,NoStem
55,67,NoStem
56,58,NoStem
filiados,4,NoStem
57,50,NoStem
58,55,NoStem
59,51,NoStem
1336294,1,NoStem
1º,2275,NoStem
sucessões,7,NoStem
distrato,10,NoStem
4a,5,NoStem
2012316569,1,NoStem
demonstram,35,NoStem
korea,1,NoStem
adailton,7,NoStem
demonstrar,218,NoStem
acadêmico,1,NoStem
120130711,1,NoStem
60,285,NoStem
61,61,NoStem
4o,26,NoStem
62,154,NoStem
63,47,NoStem
64,98,NoStem
seguros,48,NoStem
65,64,NoStem
66,74,NoStem
4t,1,NoStem
67,49,NoStem
201500614788,1,NoStem
00434280554113,1,NoStem
2011218211,1,NoStem
68,55,NoStem
69,179,NoStem
acadêmica,6,NoStem
2º,824,NoStem
lançar,7,NoStem
exaustivamente,23,NoStem
1111982,3,NoStem
5a,9,NoStem
comprado,4,NoStem
velhae,1,NoStem
delineamentos,38,NoStem
impugnável,8,NoStem
cálculo,286,NoStem
emconsulta,1,NoStem
70,76,NoStem
pedidas,3,NoStem
71,48,NoStem
5o,13,NoStem
72,71,NoStem
73,54,NoStem
74,58,NoStem
1387858,1,NoStem
75,61,NoStem
76,38,NoStem
77,53,NoStem
denunciados,13,NoStem
passagens,1,NoStem
78,55,NoStem
79,65,NoStem
maro,1,NoStem
3º,955,NoStem
1300358,1,NoStem
estradas,1,NoStem
mary,8,NoStem
providenciou,3,NoStem
mara,3,NoStem
2â,2,NoStem
alaide,1,NoStem
6h,1,NoStem
prefalada,3,NoStem
mare,1,NoStem
80,396,NoStem
81,41,NoStem
milton,12,NoStem
6o,4,NoStem
82,41,NoStem
83,118,NoStem
prefixados,5,NoStem
84,58,NoStem
85,68,NoStem
prefalado,2,NoStem
86,64,NoStem
base,833,NoStem
87,61,NoStem
88,137,NoStem
susana,2,NoStem
transfeririam,1,NoStem
1184943,3,NoStem
89,70,NoStem
maus,5,NoStem
201400819172,2,NoStem
4º,990,NoStem
reconduzida,2,NoStem
pedidos,335,NoStem
incentivo,7,NoStem
detentores,6,NoStem
atingir,28,NoStem
7h,1,NoStem
atingiu,9,NoStem
obtenção,124,NoStem
impedimento,36,NoStem
90,174,NoStem
91,66,NoStem
7o,1,NoStem
susany,1,NoStem
92,138,NoStem
93,119,NoStem
94,124,NoStem
95,149,NoStem
96,98,NoStem
97,167,NoStem
98,269,NoStem
99,110,NoStem
discrimem,1,NoStem
5º,851,NoStem
integrativos,1,NoStem
reativados,1,NoStem
sucumbência,703,NoStem
sálvio,43,NoStem
201400820178,1,NoStem
mata,6,NoStem
3809,2,NoStem
8o,3,NoStem
mato,3,NoStem
3800,1,NoStem
ocasionais,3,NoStem
6º,273,NoStem
virada,1,NoStem
201312100768,1,NoStem
exceçãoimprocedente,1,NoStem
9h,1,NoStem
controversia,4,NoStem
9o,2,NoStem
possibilitam,4,NoStem
possibilitar,43,NoStem
120140122,2,NoStem
prejudicialidade,70,NoStem
008880,2,NoStem
pretenda,7,NoStem
7º,88,NoStem
atribuições,36,NoStem
alienaçao,1,NoStem
governamental,8,NoStem
pretende,299,NoStem
demonstrou,57,NoStem
201500819945,1,NoStem
3827,1,NoStem
3828,1,NoStem
2007203261,1,NoStem
maré,1,NoStem
fnde,4,NoStem
vigilância,7,NoStem
insanidade,2,NoStem
3821,1,NoStem
intimidatória,1,NoStem
8º,157,NoStem
prudencial,2,NoStem
1159940,2,NoStem
moreno,8,NoStem
demandantes,23,NoStem
201482200347,1,NoStem
3836,2,NoStem
ocupava,3,NoStem
ocasionada,4,NoStem
paertada,1,NoStem
expressiva,2,NoStem
ocasionado,8,NoStem
9º,28,NoStem
traça,2,NoStem
jamile,2,NoStem
flexibilização,4,NoStem
adiantamento,8,NoStem
concerto,1,NoStem
controversas,1,NoStem
201555000727,1,NoStem
regularmente,59,NoStem
transcorreram,12,NoStem
120140114,3,NoStem
3842,1,NoStem
3843,1,NoStem
cruzados,2,NoStem
atingisse,1,NoStem
compensados,40,NoStem
escopo,74,NoStem
possibilitem,2,NoStem
esferas,12,NoStem
verificável,2,NoStem
insondáveis,3,NoStem
3858,1,NoStem
virago,1,NoStem
recepcionada,2,NoStem
008840,1,NoStem
savergnini,1,NoStem
nº200411300577,1,NoStem
escoou,1,NoStem
3857,2,NoStem
macular,5,NoStem
redesignou,2,NoStem
hospitais,2,NoStem
maculam,11,NoStem
efetuação,1,NoStem
recepcionado,7,NoStem
10mg,7,NoStem
denegatórias,3,NoStem
1206,6,NoStem
1203,1,NoStem
frederico,3,NoStem
1201,1,NoStem
1200,2,NoStem
pradines,2,NoStem
201400100383,1,NoStem
1208,3,NoStem
restrição,132,NoStem
2011304553,1,NoStem
arrazoada,2,NoStem
examinados,9,NoStem
contratualmente,26,NoStem
avalia,5,NoStem
1216,1,NoStem
cumulação,177,NoStem
1211,1,NoStem
lxiii,1,NoStem
3873,1,NoStem
3874,1,NoStem
vulgarmente,1,NoStem
3875,1,NoStem
arrazoado,28,NoStem
embargso,1,NoStem
circunscritos,2,NoStem
3892,3,NoStem
1231,15,NoStem
1230,1,NoStem
máximos,8,NoStem
1025858,1,NoStem
201400820332,1,NoStem
prefacial,13,NoStem
120v,2,NoStem
1228,3,NoStem
heinz,4,NoStem
1227,6,NoStem
1225,2,NoStem
1224,2,NoStem
desprezarem,1,NoStem
mandão,1,NoStem
artigos,338,NoStem
201413600478,1,NoStem
201352100494,1,NoStem
1240,1,NoStem
persecução,2,NoStem
ranibizumab,1,NoStem
articulado,2,NoStem
201400822954,1,NoStem
1232,2,NoStem
3894,1,NoStem
improcedem,1,NoStem
penitenciário,1,NoStem
sanadas,6,NoStem
mobilização,1,NoStem
articulada,1,NoStem
0131263,1,NoStem
201413600485,1,NoStem
controversos,3,NoStem
1252,1,NoStem
1250,2,NoStem
passariam,1,NoStem
inexatidões,4,NoStem
imprópria,16,NoStem
creche,3,NoStem
1249,1,NoStem
côrtes,2,NoStem
1248,6,NoStem
201400819329,2,NoStem
riachuelo,65,NoStem
severa,2,NoStem
adjudicação,11,NoStem
1037801,1,NoStem
pelomunicípio,2,NoStem
habilitados,3,NoStem
1243,8,NoStem
severo,2,NoStem
impróprio,6,NoStem
evitadas,1,NoStem
mortandade,2,NoStem
solvidas,1,NoStem
ênio,1,NoStem
1261,1,NoStem
1260,5,NoStem
ultrapassarão,2,NoStem
insignificante,11,NoStem
implementados,3,NoStem
realçar,3,NoStem
provoca,7,NoStem
emergencial,8,NoStem
complemento,17,NoStem
baseno,1,NoStem
1255,1,NoStem
1254,2,NoStem
explicativa,2,NoStem
logicidade,1,NoStem
ocupados,3,NoStem
1074824,1,NoStem
hierarquizada,10,NoStem
ressoa,12,NoStem
1274,7,NoStem
1243775,1,NoStem
baseou,10,NoStem
550530,1,NoStem
1269,1,NoStem
1268,3,NoStem
quantitativos,1,NoStem
1267,1,NoStem
amplos,1,NoStem
http,5,NoStem
inamps,1,NoStem
livraria,18,NoStem
paoli,6,NoStem
201111800001,1,NoStem
majorou,2,NoStem
120111219tribunal,2,NoStem
operadas,12,NoStem
1284,7,NoStem
promulgação,9,NoStem
201088100783,1,NoStem
representou,3,NoStem
1279,8,NoStem
subsumem,15,NoStem
amélia,2,NoStem
estrada,4,NoStem
reafirmando,2,NoStem
deconvencimento,1,NoStem
018470,1,NoStem
embargos,2147,NoStem
embargou,6,NoStem
desperdício,1,NoStem
previsã,1,NoStem
201400820348,1,NoStem
20098260000,1,NoStem
primeiramente,60,NoStem
1288,2,NoStem
initiolitis,1,NoStem
indébito,298,NoStem
quantitativas,3,NoStem
128v,1,NoStem
114345,1,NoStem
possobom,3,NoStem
armazem,1,NoStem
oxigenoterapia,7,NoStem
divisória,2,NoStem
herman,93,NoStem
adimplemento,63,NoStem
tagliaferro,1,NoStem
657394,1,NoStem
669367,1,NoStem
alerta,2,NoStem
equivalência,3,NoStem
justamente,83,NoStem
descurar,1,NoStem
levando,101,NoStem
incrementação,1,NoStem
auditorianas,1,NoStem
201362000503,1,NoStem
alimento,1,NoStem
cômputo,6,NoStem
dobradas,3,NoStem
prescreverem,1,NoStem
balconista,1,NoStem
enaltece,1,NoStem
processais,1,NoStem
1338608,1,NoStem
confirmação,43,NoStem
comparativamente,1,NoStem
indisponível,38,NoStem
adunados,9,NoStem
complementa,5,NoStem
790608,1,NoStem
complemente,1,NoStem
extraordinários,7,NoStem
começam,2,NoStem
mísero,1,NoStem
começar,4,NoStem
iriam,2,NoStem
95docdc,1,NoStem
00038158520154020000,1,NoStem
poupador,11,NoStem
analisará,5,NoStem
ampliá,1,NoStem
2011208680,1,NoStem
respeitante,1,NoStem
honório,1,NoStem
moita,2,NoStem
transcorresse,1,NoStem
fracionado,3,NoStem
datado,55,NoStem
disversos,1,NoStem
pedagogo,1,NoStem
lúcia,56,NoStem
grupo,42,NoStem
lourival,7,NoStem
preterida,1,NoStem
2012316833,1,NoStem
omedicamento,2,NoStem
intecorrente,1,NoStem
magnânimo,1,NoStem
datada,57,NoStem
fracionada,1,NoStem
hermes,5,NoStem
adote,9,NoStem
lúcio,5,NoStem
limítrofes,3,NoStem
amelia,2,NoStem
adota,19,NoStem
adoto,6,NoStem
201600720820,2,NoStem
aparelhamento,3,NoStem
ocupada,1,NoStem
bianchi,4,NoStem
2011206080,1,NoStem
ramalho,6,NoStem
loureiro,6,NoStem
consentânea,2,NoStem
espoliatórios,1,NoStem
